Company,Inches,Cpu,Ram,Memory,Gpu,Price,Price in Dollars
Apple,13.3,Intel Core i5 2.3GHz,8,128GB SSD,Intel Iris Plus Graphics 640,71378.6832,856.5441984
Apple,13.3,Intel Core i5 1.8GHz,8,128GB Flash Storage,Intel HD Graphics 6000,47895.5232,574.7462784
HP,15.6,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,30636.0,367.632
Apple,15.4,Intel Core i7 2.7GHz,16,512GB SSD,AMD Radeon Pro 455,135195.33599999998,1622.3440319999997
Apple,13.3,Intel Core i5 3.1GHz,8,256GB SSD,Intel Iris Plus Graphics 650,96095.808,1153.1496960000002
Acer,15.6,AMD A9-Series 9420 3GHz,4,500GB HDD,AMD Radeon R5,21312.0,255.744
Apple,15.4,Intel Core i7 2.2GHz,16,256GB Flash Storage,Intel Iris Pro Graphics,114017.6016,1368.2112192
Apple,13.3,Intel Core i5 1.8GHz,8,256GB Flash Storage,Intel HD Graphics 6000,61735.536,740.8264320000001
Asus,14.0,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Nvidia GeForce MX150,79653.59999999999,955.8431999999999
Acer,14.0,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,41025.6,492.30719999999997
HP,15.6,Intel Core i5 7200U 2.5GHz,4,500GB HDD,Intel HD Graphics 620,20986.992,251.84390399999998
HP,15.6,Intel Core i3 6006U 2GHz,4,500GB HDD,Intel HD Graphics 520,18381.0672,220.57280640000002
Apple,15.4,Intel Core i7 2.8GHz,16,256GB SSD,AMD Radeon Pro 555,130001.6016,1560.0192192
Dell,15.6,Intel Core i3 6006U 2GHz,4,256GB SSD,AMD Radeon R5 M430,26581.392,318.976704
Apple,12.0,Intel Core M m3 1.2GHz,8,256GB SSD,Intel HD Graphics 615,67260.672,807.1280640000001
Apple,13.3,Intel Core i5 2.3GHz,8,256GB SSD,Intel Iris Plus Graphics 640,80908.344,970.900128
Dell,15.6,Intel Core i7 7500U 2.7GHz,8,256GB SSD,AMD Radeon R5 M430,39693.6,476.3232
Apple,15.4,Intel Core i7 2.9GHz,16,512GB SSD,AMD Radeon Pro 560,152274.24,1827.29088
Lenovo,15.6,Intel Core i3 7100U 2.4GHz,8,1TB HDD,Nvidia GeForce 940MX,26586.72,319.04064
Dell,13.3,Intel Core i5 8250U 1.6GHz,8,128GB SSD,Intel UHD Graphics 620,52161.12,625.93344
Asus,11.6,Intel Atom x5-Z8350 1.44GHz,2,32GB Flash Storage,Intel HD Graphics 400,10224.432,122.69318400000002
Lenovo,15.6,Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,53226.72,638.72064
HP,15.6,AMD E-Series E2-9000e 1.5GHz,4,500GB HDD,AMD Radeon R2,13746.24,164.95488
Dell,13.3,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,43636.32,523.63584
HP,15.6,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel HD Graphics 620,35111.52,421.33824
Dell,15.6,Intel Core i3 6006U 2GHz,4,1TB HDD,Intel HD Graphics 520,22305.1392,267.66167040000005
Apple,13.3,Intel Core i5 1.6GHz,8,128GB Flash Storage,Intel HD Graphics 6000,58554.72,702.65664
Dell,15.6,Intel Core i5 8250U 1.6GHz,8,256GB SSD,AMD Radeon 530,42624.0,511.488
Dell,15.6,Intel Core i7 8650U 1.9GHz,8,256GB SSD +  256GB SSD,Intel UHD Graphics 620,69157.44,829.8892800000001
HP,17.3,Intel Core i5 8250U 1.6GHz,8,1TB HDD,Nvidia GeForce 930MX,47738.88,572.8665599999999
Chuwi,15.6,Intel Atom x5-Z8300 1.44GHz,4,64GB Flash Storage,Intel HD Graphics,13053.0672,156.63680639999998
Asus,14.0,AMD E-Series E2-6110 1.5GHz,2,32GB Flash Storage,AMD Radeon R2,10602.72,127.23263999999999
HP,17.3,AMD A6-Series 9220 2.5GHz,4,500GB HDD,AMD Radeon 530,23389.92,280.67904
Dell,13.3,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Intel UHD Graphics 620,99580.32,1194.9638400000001
Apple,13.3,Intel Core i5 1.6GHz,8,256GB Flash Storage,Intel HD Graphics 6000,53173.44,638.08128
Lenovo,14.0,Intel Celeron Dual Core N3350 1.1GHz,4,64GB Flash Storage,Intel HD Graphics 500,13266.72,159.20064
Acer,15.6,Intel Core i3 7130U 2.7GHz,4,1TB HDD,Intel HD Graphics 620,19553.76,234.64512
Dell,17.3,Intel Core i5 8250U 1.6GHz,8,128GB SSD +  1TB HDD,AMD Radeon 530,52161.12,625.93344
HP,15.6,Intel Core i5 7200U 2.5GHz,4,1TB HDD,Intel HD Graphics 620,26037.4032,312.4488384
HP,15.6,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Nvidia GeForce 930MX ,46833.12,561.9974400000001
Asus,15.6,Intel Core i3 6006U 2GHz,4,1TB HDD,Intel HD Graphics 620,20725.92,248.71104
Dell,15.6,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,79866.72,958.4006400000001
Asus,15.6,Intel Core i5 7200U 2.5GHz,8,1TB HDD,Nvidia GeForce 940MX,27864.9072,334.3788864
Acer,15.6,Intel Core i5 8250U 1.6GHz,4,256GB SSD,Intel UHD Graphics 620,36336.96,436.04352
Dell,17.3,Intel Core i5 8250U 1.6GHz,12,1TB HDD,Nvidia GeForce 150MX,53226.72,638.72064
Apple,13.3,Intel Core i5 2.0GHz,8,256GB SSD,Intel Iris Graphics 540,75604.31999999999,907.2518399999999
Lenovo,15.6,Intel Core i3 6006U 2GHz,4,128GB SSD,Intel HD Graphics 520,19660.32,235.92384
Asus,17.3,AMD Ryzen 1700 3GHz,8,256GB SSD +  1TB HDD,AMD Radeon RX 580,69210.72,830.52864
Dell,15.6,Intel Core i5 7200U 2.5GHz,4,256GB SSD,AMD Radeon R5 M430,34045.92,408.55104
Asus,17.3,Intel Pentium Quad Core N4200 1.1GHz,4,1TB HDD,Nvidia GeForce 920MX,24828.48,297.94176
Lenovo,10.1,Intel Atom x5-Z8550 1.44GHz,4,64GB Flash Storage,Intel HD Graphics 400,16996.32,203.95584
Acer,15.6,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Nvidia GeForce MX150,44808.48,537.70176
HP,15.6,AMD A6-Series 9220 2.5GHz,4,256GB SSD,AMD Radeon R4 Graphics,21231.5472,254.77856640000002
HP,13.3,Intel Core i7 8550U 1.8GHz,8,512GB SSD,Intel UHD Graphics 620,58767.84,705.21408
Acer,15.6,Intel Core i3 7100U 2.4GHz,4,1TB HDD,Intel HD Graphics 620,20459.52,245.51424
Dell,15.6,Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon 520,40908.384,490.900608
HP,15.6,Intel Core i3 6006U 2GHz,4,128GB SSD,Intel HD Graphics 520,23389.92,280.67904
Asus,15.6,Intel Core i5 7200U 2.5GHz,4,256GB SSD,Intel HD Graphics 620,31232.203200000004,374.78643840000007
MSI,17.3,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,130482.72,1565.7926400000001
Asus,15.6,Intel Core i3 6006U 2GHz,4,256GB SSD,Intel HD Graphics 520,22111.2,265.3344
Dell,17.3,Intel Core i7 8550U 1.8GHz,16,256GB SSD +  2TB HDD,AMD Radeon 530,69210.72,830.52864
Dell,14.0,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,46833.12,561.9974400000001
Lenovo,14.0,Intel Core i3 7130U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,31914.72,382.97664000000003
Asus,14.0,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,50136.48,601.6377600000001
HP,15.6,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,36763.2,441.1584
Asus,15.6,Intel Core i7 7700HQ 2.8GHz,16,512GB SSD,Nvidia GeForce GTX 1050 Ti,105654.24,1267.8508800000002
HP,15.6,Intel Core i3 6006U 2GHz,4,500GB HDD,AMD Radeon 520,23373.4032,280.48083840000004
HP,14.0,Intel Celeron Dual Core N3060 1.6GHz,4,32GB SSD,Intel HD Graphics 400,12201.12,146.41344
Lenovo,15.6,Intel Core i5 7200U 2.5GHz,4,1TB HDD,Intel HD Graphics 620,29250.72,351.00864
Asus,17.3,Intel Core i7 7700HQ 2.8GHz,12,1TB HDD,Nvidia GeForce GTX 1050 Ti,50562.72,606.75264
Microsoft,13.5,Intel Core i5 7200U 2.5GHz,4,128GB SSD,Intel HD Graphics 620,58021.92,696.26304
